manufacturer,code,name,substrate,coating_family,thickness_mm,actual_thickness_mm,temper_mode,exposure_rule,allowed_surfaces,edge_deletion,deposition,legacy_code,notes,review,igdb_coating,igdb_substrate,igdb_tvis,igdb_tsol,igdb_emis2,igdb_version,igdb_id
Cardinal Glass Industries,,Float Glass - 1.6mm,clear,uncoated,2,1.600,,,,,,,,,,Float Glass,0.910,0.880,0.840,IGDB v68.0,2022
Cardinal Glass Industries,,CG2-16 08211981,,uncoated,2.2,2.200,,,,,,,,"похоже на лабораторный код, не товар",,CG2-16 08211981,0.167,0.075,0.044,IGDB v60.0,18209
Cardinal Glass Industries,,CG2-55_22124-2,,uncoated,2.2,2.200,,,,,,,,"похоже на лабораторный код, не товар",,CG2-55_22124-2,0.604,0.259,0.028,IGDB v101.0,2195
Cardinal Glass Industries,,CG3-15_10181,,uncoated,2.2,2.200,,,,,,,,"похоже на лабораторный код, не товар",,CG3-15_10181,0.149,0.059,0.030,IGDB v82.0,18263
Cardinal Glass Industries,,CG60 011080,,uncoated,2.2,2.200,,,,,,,,"похоже на лабораторный код, не товар",,CG60 011080,0.649,0.251,0.020,IGDB v90.0,18274
Cardinal Glass Industries,,CG74 041990,,uncoated,2.2,2.200,,,,,,,,"похоже на лабораторный код, не товар",,CG74 041990,0.826,0.496,0.045,IGDB v90.0,18268
Cardinal Glass Industries,,CGA86-55 2mm,,uncoated,2.2,2.200,,,,,,,,"похоже на лабораторный код, не товар",,CGA86-55,0.867,0.609,0.053,IGDB v103.0,2133
Cardinal Glass Industries,,CGD89_092661,,uncoated,2.2,2.200,,,,,,,,"похоже на лабораторный код, не товар",,CGD89_092661,0.868,0.684,0.149,IGDB v65.0,18100
Cardinal Glass Industries,,Comfort Select 73 on 2mm Clear,clear,lowe,2.2,2.200,,,,,,,,,Comfort Select 73,Clear,0.845,0.727,0.840,IGDB v89.0,1031
Cardinal Glass Industries,,Comfort Select 73Plus on 2mm Clear,clear,lowe,2.2,2.310,,,,,,,,,Comfort Select 73Plus,Clear,0.854,0.736,0.186,IGDB v89.0,1022
Cardinal Glass Industries,,Float Glass - 2mm,clear,uncoated,2.2,2.200,,,,,,,,,,Float Glass,0.909,0.864,0.840,IGDB v29.0,2000
Cardinal Glass Industries,,i89 on 2.2mm Clear,clear,lowe,2.2,2.200,,,,,,,,,i89,Clear,0.888,0.748,0.149,IGDB v97.0,2158
