manufacturer,code,name,substrate,coating_family,thickness_mm,actual_thickness_mm,temper_mode,exposure_rule,allowed_surfaces,edge_deletion,deposition,legacy_code,notes,review,coating_name,spil_qty,spil_unit,spil_supplier,spil_avgcost
,4CL,4mm CLEAR GLASS,clear,uncoated,4,4,,,,,,4CL,,,,0,SF,,0
,5MIR,5mm CLEAR MIRROR,clear,reflective,5,5,,,,,,5MIR,,,,0,SF,,0
,6CL,6mm CLEAR GLASS,clear,uncoated,6,5.85,,,,,,6CL,,,,0,SF,,0
,10CL,10mm CLEAR GLASS,clear,uncoated,10,9.65,,,,,,10CL,,,,32,SF,,2.09
,12CL,12mm CLEAR GLASS,clear,uncoated,12,11.85,,,,,,12CL,,,,0,SF,,0
,15CL,15mm CLEAR GLASS,clear,uncoated,15,16,,,,,,15CL,,"толщина противоречит названию: заявлено 15, записано 16",,0,SF,,0
TRULITE INDUSTRIES LTD,19CL,19mm CLEAR GLASS,clear,uncoated,19,19,,,,,,19CL,,,,0,SF,TRULITE INDUSTRIES LTD,0
TRULITE INDUSTRIES LTD,6TNT,6mm GRAY,tinted,uncoated,6,5.85,,,,,,6TNT,,,,0,SF,TRULITE INDUSTRIES LTD,0
,10TNT,10mm GRAY,tinted,uncoated,10,9.65,,,,,,10TNT,,,,0,SF,,0
,12TNT,12mm GRAY,tinted,uncoated,12,11.85,,,,,,12TNT,,,,0,SF,,0
,6AE,6mm ACID ETCH VELOUR,patterned,uncoated,6,5.85,,,,,,6AE,,,,0,SF,,0
,10AE,10mm ACID ETCH VELOUR,patterned,uncoated,10,9.55,,,,,,10AE,,,,12,SF,,1.05
,12AE,12mm ACID ETCH VELOUR,patterned,uncoated,12,11.85,,,,,,12AE,,,,0,SF,,0
,6STPH,6mm STARPHIRE,low_iron,uncoated,6,6,,,,,,6STPH,,,,0,SF,,0
,10STPH,10mm STARPHIRE,low_iron,uncoated,10,9.65,,,,,,10STPH,,,,0,SF,,0
,12STPH,12mm STARPHIRE,low_iron,uncoated,12,11.85,,,,,,12STPH,,,,0,SF,,0
,6DUALMIR,6mm DUAL VIEW MIRROR,,reflective,6,5.85,,,,,,6DUALMIR,,подложку определить не удалось,,0,SF,,0
,5TNTMR,5mm BRONZE  MIRROR,tinted,reflective,5,5,,,,,,5TNTMR,,,,0,SF,,0
,8CL,8mm CLEAR GLASS,clear,uncoated,8,7.85,,,,,,8CL,,,,0,SF,,0
,5CL,5mm CLEAR GLASS,clear,uncoated,5,4.85,,,,,,5CL,,,,3,SF,,0
,3CL,3mm Clear,clear,uncoated,3,3,,,,,,3CL,,,,0,SF,,0
,6MIR,6mm CLEAR MIRROR,clear,reflective,6,6,,,,,,6MIR,,,,0,SF,,0
,6ANTMR,6mm ANTIQUE MIRROR,,reflective,6,6,,,,,,6ANTMR,,подложку определить не удалось,,0,SF,,0
,5PINH,5mm PINHEAD GLASS,patterned,uncoated,5,4.85,,,,,,5PINH,,,,0,SF,,0
,10BRZ,10mm BRONZE,tinted,uncoated,10,9.65,,,,,,10BRZ,,,,0,SF,,0
,10GREEN,10mm GREEN,tinted,uncoated,10,9.65,,,,,,10GREEN,,,,0,SF,,0
,12BRZ,12mm BRONZE,tinted,uncoated,12,11.85,,,,,,12BRZ,,,,0,SF,,0
