code,name,item_group,kind,price_unit,spil_calc_unit,spil_stock_unit,station,thickness_mm,performed_by,stage,affects_size,allowance_w_in,allowance_h_in,price,review,note
MTR,"MITERING, 22.5 DEGREES",MITERING,operation,lm_in,Lineal,IN,POL,,in_house,pre_temper,,,,,,
S22,HIGH FLAT POLISH,POLISHING,operation,lm_in,Lineal,IN,POL,,in_house,pre_temper,,,,,,
HNGS,HINGES,HINGES,material,each,Flat,EACH,,,,,,,,,"это МАТЕРИАЛ, а не услуга — в каталог материалов",
S42,OUTLET CUT OUT,OUTLET CUT OUT,operation,each,Flat,EACH,PROC,,in_house,pre_temper,,,,,,
SMP SAND,SIMPLE SANDBLASTING,FULL SANDBLASTING,operation,ft2,Area,SF,SAND,,in_house,any,,,,,,после закалки; если деталь не закаляется — после кромки
"HOLES 1/2""-1""","Holes 1/2 -  1"" INCH",1/2 - 1 INCH HOLES,operation,each,Flat,EACH,PROC,,in_house,pre_temper,,,,,,
CN 1001,CRN 1001mm+,OTHER,operation,each,Flat,EACH,,,in_house,,,,,,НА УДАЛЕНИЕ — никогда не использовалась,
BVL5MR,"BEVELLING, 5MM MIRROR",BEVELLING,operation,lm_in,Lineal,IN,POL,,in_house,pre_temper,,,,,,
RA,ROUGH ARRIS,ARRIS,operation,lm_in,Lineal,IN,POL,,in_house,pre_temper,,,,,,аррисинг делают рано — для безопасного перемещения стекла по цеху
"HOLES 1 1/16""- 2""",HOLES 1-1/16 Inches to 2 Inches,1-1/16 - 2 INCH HOLE,operation,each,Flat,EACH,PROC,,in_house,pre_temper,,,,,,
BVL 10-12CL,"BEVELLING, 10-12 MM CLEAR GLASS",BEVELLING,operation,lm_in,Lineal,IN,POL,,in_house,pre_temper,,,,,,
BVL 6CL,"BEVELLING, 6 MM CLEAR GLASS",BEVELLING,operation,lm_in,Lineal,IN,POL,,in_house,pre_temper,,,,,,
BVL 15-19CL,"BEVELLING, 15-19 MM CLEAR GLASS",BEVELLING,operation,lm_in,Lineal,IN,POL,,in_house,pre_temper,,,,,,
CLMP,CLAMPS,CLAMPS,material,each,Flat,EACH,,,,,,,,,"это МАТЕРИАЛ, а не услуга — в каталог материалов",
BCKPNT,"BACKPAINTING, CUSTOMERS OWN PAINT",BACK PAINTING,operation,ft2,Area,SF,PAINT,,in_house,,,,,,,
4HTSK,"4MM GLASS, HEAT SOAK TEST",HEAT SOAK,operation,ft2,Area,SF,TEMP,,in_house,post_temper,,,,,,"отдельная машина после закалки, по запросу клиента"
5HTSK,"5MM GLASS, HEAT SOAK TEST",HEAT SOAK,operation,ft2,Area,SF,TEMP,,in_house,post_temper,,,,,,"отдельная машина после закалки, по запросу клиента"
6HTSK,"6MM GLASS, HEAT SOAK TEST",HEAT SOAK,operation,ft2,Area,SF,TEMP,,in_house,post_temper,,,,,,"отдельная машина после закалки, по запросу клиента"
10HTSK,"10MM GLASS, HEAT SOAK TEST",HEAT SOAK,operation,ft2,Area,SF,TEMP,,in_house,post_temper,,,,,,"отдельная машина после закалки, по запросу клиента"
12HTSK,"12MM GLASS, HEAT SOAK TEST",HEAT SOAK,operation,ft2,Area,SF,TEMP,,in_house,post_temper,,,,,,"отдельная машина после закалки, по запросу клиента"
"HOLES 2 1/16"" - 3""",HOLES 2 1/16 -3  INCHES,2 1/16 - 3  INCHES H,operation,each,Flat,EACH,PROC,,in_house,pre_temper,,,,,,
"HOLES 3 1/16"" - 4""",HOLES 3 1/16 - 4 INCHES,3 1/16 - 4 INCHES HO,operation,each,Flat,EACH,PROC,,in_house,pre_temper,,,,,,
"HOLES 4""+ INCHES","HOLES 4""+ INCHES","4""+ INCHES HOLES",operation,each,Flat,EACH,PROC,,in_house,pre_temper,,,,,,
CIRCLE POLI,CIRCLE POLISHING CNC,CNC CIRCLE POLISHING,operation,lm_in,Lineal,IN,POL,,in_house,pre_temper,,,,,,
SHAPE POLI,SHAPE POLISH CNC,CNC POLISH,operation,lm_in,Lineal,IN,POL,,in_house,pre_temper,,,,,,
S31,MAILSLOT CUT OUT,MAILSLOT CUT OUT,operation,each,Flat,EACH,PROC,,in_house,pre_temper,,,,,,
S29,CNC Processing,CNC,operation,each,Flat,EACH,PROC,,in_house,pre_temper,,,,,,
