code,name,unit,price_6mm,price_8_10mm,price_12_19mm,class,in_system,question
10HTSK,"10MM GLASS, HEAT SOAK TEST",ft2,,3.95,,услуга,Heat Soak — ставка сегодня пустая,
12HTSK,"12MM GLASS, HEAT SOAK TEST",ft2,,,4.50,услуга,Heat Soak — ставка сегодня пустая,
4HTSK,"4MM GLASS, HEAT SOAK TEST",ft2,1.70,,,услуга,Heat Soak — ставка сегодня пустая,
5HTSK,"5MM GLASS, HEAT SOAK TEST",ft2,1.90,,,услуга,Heat Soak — ставка сегодня пустая,
6HTSK,"6MM GLASS, HEAT SOAK TEST",ft2,2.10,,,услуга,Heat Soak — ставка сегодня пустая,
8HTSK,8MM GLASS HEAT SOAK TEST,ft2,,,,услуга,Heat Soak — ставка сегодня пустая,"В прайсе строки 8 mm HEAT SOAK нет, а позиция существует. Сколько стоит? И что с 15 и 19 mm?"
BCKPNT,"BACKPAINTING, CUSTOMERS OWN PAINT",ft2,7.00,7.00,7.00,услуга,,
BVL 10-12CL,"BEVELLING, 10-12 MM CLEAR GLASS",lm_in,,0.65,0.65,услуга,Beveling — ставка сегодня пустая,"10-12 и 15-19 попадают в одну нашу полосу 12-19 с разной ценой. Значит фацет считаем по фактической толщине, а не по полосе."
BVL 15-19CL,"BEVELLING, 15-19 MM CLEAR GLASS",lm_in,,,1.20,услуга,Beveling — ставка сегодня пустая,
BVL5MR,"BEVELLING, 5MM MIRROR",lm_in,0.38,0.48,0.75,услуга,Beveling — ставка сегодня пустая,"Зеркало система пока не отличает от прозрачного стекла. По какому признаку понимать, что стекло зеркальное?"
BVL 6CL,"BEVELLING, 6 MM CLEAR GLASS",lm_in,0.45,,,услуга,Beveling — ставка сегодня пустая,
CERM FRIT - DOTS,CERAMIC FRIT - PARTIAL COVARAGE - DOTS,ft2,,,,услуга,,
"CF — Bird-friendly Pattern 215 2x2""",CF — Bird-friendly Pattern 215 2’’ x 2’’ – 5mm Dots,ft2,,,,услуга,,
"CF — Bird-friendly Pattern 216 4x4""",CF — Bird-friendly Pattern 216 4’’ x 4’’ – 5mm Dots,ft2,,,,услуга,,
"CF — Bird-friendly Pattern 217 2x4""",CF — Bird-friendly Pattern 217 2’’ x 4’’ – 5mm Dots,ft2,,,,услуга,,
CIRCLE POLI,CIRCLE POLISHING CNC,lm_in,,,,услуга,,CIRCLE POLISHING CNC в прайсе нет. Услуга живая? Если да — цена.
CNC LAMI POLISH,CNC LAMI POLISH,lm_in,0.28,0.28,0.28,услуга,cncLamiPolish,
S29,CNC Processing,each,15.00,20.00,25.00,услуга,,CNC Processing общий — это запасная позиция для работ без своей строки или самостоятельная услуга?
S30,CNC Processing -Hole,each,,,,услуга,,"CNC Processing-Hole — это то же, что строки HOLES, или отдельная работа со своей ценой?"
S32,CNC Processing- Notch,each,15.00,20.00,25.00,услуга,notchCnc,
S33,CNC Processing- Outlet cutout,each,15.00,20.00,25.00,услуга,Cutout — ставка сегодня пустая,
DIGT CERM PRNT PART,DIGITAL CERAMIC PRINTING - PARTIAL FRIT,ft2,,,,услуга,,
DIGT CERM PRNT FULL,DIGITAL CERAMIC PRINTING -FULL FRIT,ft2,,,,услуга,,
DIGIT GLASS PRINT,DIGITAL GLASS PRINTING,ft2,,,,услуга,,
HSK STAMP,HEAT SOAK STAMP,each,,,,услуга,,
HST SUF,HEAT SOAK TEST SET UP FEE,each,,,,услуга,,Разовый сбор за наладку heat soak — берётся ли он сейчас и сколько?
HS STAMP,HEAT STRENGTHENING STAMP,each,,,,услуга,,
S22,HIGH FLAT POLISH,lm_in,0.07,0.10,0.13,услуга,flatPolish,
"HOLES 1 1/16""- 2""",HOLES 1-1/16 Inches to 2 Inches,each,6.00,7.00,8.00,услуга,hole 1-2,
"HOLES 1/2""-1""","Holes 1/2 -  1"" INCH",each,5.00,6.00,7.00,услуга,hole 0.5-1,
"HOLES 2 1/16"" - 3""",HOLES 2 1/16 -3  INCHES,each,7.00,8.00,9.00,услуга,hole 2-3,
"HOLES 3 1/16"" - 4""",HOLES 3 1/16 - 4 INCHES,each,8.00,12.00,15.00,услуга,hole 3-4,
"HOLES 4""+ INCHES","HOLES 4""+ INCHES",each,10.00,15.00,25.00,услуга,hole 4+,
LAM-TEST,Lamination-TEST,ft2,,,,услуга,,
S31,MAILSLOT CUT OUT,each,,,,услуга,,MAILSLOT CUT OUT в прайсе нет. Услуга живая? Если да — цена.
MTR,"MITERING, 22.5 DEGREES",lm_in,0.28,0.38,0.45,услуга,miter225,"Митра 45° в прайсе отсутствует, в системе она есть и висит без ставки. Сколько стоит?"
